URL,Institution,Conference,Goals,Assists,ShAtt,Fouls,Red Cards,Yellow Cards,GC,Goal App,GGS,Goalie Min. Plyd,GA,Saves,Shutouts,G Wins,G Loss,DSaves,Corners,PK,PK Att
http://stats.ncaa.org/team/83/14082,Bucknell,Patriot,17,14,203,134,,5,,,,1749:58:00,26,115,5,,,,95,1,1
http://stats.ncaa.org/team/86/14082,Buffalo,MAC,35,40,256,176,,10,,,,1745:49:00,28,95,8,,,,93,1,1
http://stats.ncaa.org/team/87/14082,Butler,Big East,31,30,266,208,,14,,,,1820:00:00,20,46,9,,,,84,2,3
http://stats.ncaa.org/team/77/14082,BYU,WCC,49,41,410,177,,11,,,,1743:58:00,21,64,6,,,,102,1,3
http://stats.ncaa.org/team/90/14082,Cal Poly,Big West,15,8,251,204,,13,,,,1857:32:00,41,119,3,,,,88,1,1
http://stats.ncaa.org/team/97/14082,Cal St. Fullerton,Big West,23,20,222,200,,20,,,,1776:57:00,31,72,2,,,,96,1,1
http://stats.ncaa.org/team/107/14082,California,Pac-12,26,21,209,158,,13,,,,1759:43:00,41,68,2,,,,89,1,1
http://stats.ncaa.org/team/30135/14082,California Baptist,WAC,30,24,309,168,,10,,,,1678:09:00,15,83,8,,,,99,0,0
http://stats.ncaa.org/team/115/14082,Campbell,Big South,21,17,226,127,,2,,,,1737:09:00,28,100,4,,,1,82,1,1
http://stats.ncaa.org/team/116/14082,Canisius,MAAC,16,14,147,165,,5,,,,1630:53:00,26,92,3,,,,53,1,2
http://stats.ncaa.org/team/1004/14082,Central Ark.,Southland,55,41,335,156,,8,,,,1910:00:00,17,84,11,,,,91,5,7
http://stats.ncaa.org/team/127/14082,Central Conn. St.,NEC,37,32,323,180,,6,,,,1840:00:00,13,78,11,,,,98,2,2
http://stats.ncaa.org/team/129/14082,Central Mich.,MAC,27,25,208,179,1,12,,,,1746:13:00,34,76,4,,,,82,0,0
http://stats.ncaa.org/team/48/14082,Charleston So.,Big South,21,17,241,173,,8,,,,1597:46:00,18,100,6,,,,72,1,1
http://stats.ncaa.org/team/458/14082,Charlotte,C-USA,23,22,270,160,,13,,,,1540:06:00,22,70,5,,,,95,3,5
http://stats.ncaa.org/team/693/14082,Chattanooga,SoCon,26,20,245,174,2,15,,,,1784:33:00,26,75,7,,,,74,1,3
http://stats.ncaa.org/team/136/14082,Chicago St.,WAC,11,5,119,172,3,24,,,,1550:00:00,77,186,,,,,24,2,2
http://stats.ncaa.org/team/140/14082,Cincinnati,AAC,18,14,225,158,,13,,,,1707:44:00,32,92,3,,,1,82,2,3
http://stats.ncaa.org/team/147/14082,Clemson,ACC,33,36,270,172,,10,,,,1908:49:00,19,63,9,,,,116,1,4
http://stats.ncaa.org/team/148/14082,Cleveland St.,Horizon,30,24,242,167,,5,,,,1748:36:00,19,73,6,,,,108,2,2
http://stats.ncaa.org/team/149/14082,Coastal Carolina,Sun Belt,18,8,226,131,,4,,,,1569:32:00,21,77,5,,,,87,3,3
http://stats.ncaa.org/team/1014/14082,Col. of Charleston,CAA,30,19,296,185,,14,,,,1885:09:00,25,84,7,,,,85,0,0
http://stats.ncaa.org/team/153/14082,Colgate,Patriot,25,19,276,148,,4,,,,1688:22:00,10,79,11,,,1,93,2,2
http://stats.ncaa.org/team/157/14082,Colorado,Pac-12,47,52,344,184,,14,,,,1873:31:00,19,108,8,,,,107,2,3
http://stats.ncaa.org/team/154/14082,Colorado Col.,Mountain West,21,19,283,154,,14,,,,1673:57:00,18,69,7,,,1,99,2,5
http://stats.ncaa.org/team/156/14082,Colorado St.,Mountain West,10,4,226,237,,19,,,,1790:00:00,20,67,8,,,,79,2,3
http://stats.ncaa.org/team/158/14082,Columbia,Ivy League,22,27,228,113,,4,,,,1470:28:00,18,50,5,,,,88,0,0
http://stats.ncaa.org/team/167/14082,Cornell,Ivy League,8,7,110,83,,8,,,,1403:43:00,27,112,,,,3,42,0,0
http://stats.ncaa.org/team/169/14082,Creighton,Big East,16,13,204,152,,10,,,,1564:38:00,30,91,5,,,,64,2,2
http://stats.ncaa.org/team/94/14082,CSU Bakersfield,WAC,21,14,215,180,,10,,,,1696:18:00,35,110,5,,,,91,1,1
http://stats.ncaa.org/team/101/14082,CSUN,Big West,16,12,208,206,,14,,,,1496:26:00,24,72,3,,,,59,0,0
http://stats.ncaa.org/team/172/14082,Dartmouth,Ivy League,24,25,227,109,,7,,,,1618:05:00,14,74,7,,,,80,3,3
http://stats.ncaa.org/team/173/14082,Davidson,Atlantic 10,16,10,167,126,,6,,,,1582:34:00,35,91,1,,,,57,1,1
http://stats.ncaa.org/team/175/14082,Dayton,Atlantic 10,18,17,191,177,1,6,,,,1772:20:00,26,92,4,,,,89,0,0
http://stats.ncaa.org/team/180/14082,Delaware,CAA,12,9,174,155,,6,,,,1674:54:00,27,97,4,,,,68,0,2
http://stats.ncaa.org/team/178/14082,Delaware St.,DI Independent,16,9,137,156,1,16,,,,1752:08:00,68,125,2,,,,43,1,3
http://stats.ncaa.org/team/183/14082,Denver,Summit League,38,43,318,169,,9,,,,1975:05:00,17,77,10,,,,114,2,2
http://stats.ncaa.org/team/176/14082,DePaul,Big East,26,21,257,204,1,16,,,,1827:48:00,17,74,9,,,,107,1,1
http://stats.ncaa.org/team/184/14082,Detroit Mercy,Horizon,19,16,181,201,1,8,,,,1918:12:00,22,115,9,,,1,52,1,1
