date,team,opponent,home_away,result,home_score,visitor_score,overtime,games,goals,assists,points,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_points,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,na.x,na.y
2021-03-12,Alabama A&M Bulldogs,Jackson St.,Away,Loss,2,1,NA,1,1,0,2,4,3,0,1,0,0,0,0,90:00,2,1,0,0,0,0,0,1,0,0,2,1,5,7,3,0,0,0,0,0,0,90:00,1,2,0,0,0,0,0,0,0,1,NA,NA
2021-03-19,Alabama A&M Bulldogs,Alcorn,Home,Win,0,1,NA,1,1,1,3,26,13,5,0,1,0,0,0,90:00,0,1,1,0,0,0,0,6,0,0,0,0,0,2,1,7,0,0,0,0,0,90:00,1,12,0,0,0,0,0,0,0,0,NA,NA
2021-03-26,Alabama A&M Bulldogs,Texas Southern,Away,Win,0,1,NA,1,1,0,2,27,5,6,0,0,0,0,0,90:00,0,4,1,0,0,0,0,8,1,1,0,0,0,15,4,9,0,1,0,0,0,90:00,1,4,0,0,0,0,0,3,0,0,NA,NA
2021-03-28,Alabama A&M Bulldogs,Prairie View,Away,Win,0,1,NA,1,1,0,2,5,2,4,0,1,0,0,0,90:00,0,6,1,0,0,0,0,5,0,0,0,0,0,10,6,10,0,0,0,0,0,90:00,1,1,0,0,0,0,0,8,0,0,NA,NA
2021-04-02,Alabama A&M Bulldogs,Alabama St.,Away,Loss,2,1,1OT,1,1,0,2,7,3,5,0,0,0,0,0,94:45,2,5,0,0,0,0,0,4,0,0,2,2,6,12,7,3,0,1,0,0,0,94:45,1,2,0,0,0,0,0,4,0,0,NA,NA
2021-02-17,Alabama St. Lady Hornets,Troy,Home,Loss,3,1,NA,1,1,1,3,6,3,4,0,1,0,0,0,90:00,3,4,0,0,0,0,0,5,0,0,3,2,8,12,7,4,0,0,0,0,0,90:00,1,2,0,0,0,0,0,5,0,0,NA,NA
2021-02-21,Alabama St. Lady Hornets,UAB,Home,Loss,8,1,NA,1,1,0,2,2,2,4,0,0,0,0,0,90:00,8,10,0,0,0,0,0,0,0,0,8,3,19,25,18,0,0,0,0,0,0,90:00,1,1,0,0,0,0,0,8,0,0,NA,NA
2021-03-05,Alabama St. Lady Hornets,Ark.-Pine Bluff,Home,Win,0,5,NA,1,5,5,15,18,10,6,0,2,0,0,0,90:00,0,1,1,1,0,0,0,3,0,0,0,0,0,6,1,4,0,1,0,0,0,90:00,5,5,0,0,0,0,0,2,0,0,NA,NA
2021-03-07,Alabama St. Lady Hornets,Grambling,Home,Draw,1,1,2OT,1,1,0,2,6,3,6,0,1,0,0,0,0,1,7,0,0,0,0,0,2,1,1,1,0,2,13,8,5,0,0,0,0,0,0,1,2,0,0,0,0,0,7,0,0,NA,NA
2021-03-14,Alabama St. Lady Hornets,Jackson St.,Away,Win,1,2,NA,1,2,0,4,4,2,0,0,0,0,0,0,90:00,1,6,0,0,0,0,0,1,0,0,1,1,3,10,7,0,0,1,0,0,0,90:00,2,0,0,0,0,0,0,3,0,0,NA,NA
