date,team,opponent,home_away,result,home_score,visitor_score,overtime,goals,assists,points,shots,sog,gb,to,ct,fo_won,f_os_taken,defensive_goals,defensive_assists,defensive_points,defensive_shots,defensive_sog,defensive_gb,defensive_to,defensive_ct,defensive_fo_won,defensive_f_os_taken,goals_allowed,saves,defensive_goals_allowed,defensive_saves
2025-03-08,Dartmouth,Utah,Home,L,11,9,NA,11,7,18,47,24,37,13,10,12,24,9,8,17,45,25,41,15,7,12,24,9,16,11,13
2025-03-15,Dartmouth,Hobart,Home,L,17,5,NA,17,10,27,42,27,43,13,17,13,26,5,2,7,40,24,40,20,12,13,26,5,19,17,10
2025-03-22,Dartmouth,Penn,Away,L,9,8,1,9,2,11,31,17,31,14,7,8,21,8,5,13,37,22,21,17,5,13,21,8,14,9,8
2025-03-29,Dartmouth,Princeton,Home,W,8,11,NA,8,4,12,34,21,29,18,3,12,22,11,5,16,60,32,37,6,12,10,22,11,21,8,13
2025-04-05,Dartmouth,Harvard,Home,W,7,18,NA,7,4,11,21,15,34,22,6,17,29,18,15,33,53,34,43,9,19,12,29,18,16,7,8
2025-02-08,Delaware,Utah,Away,L,13,12,NA,13,9,22,39,24,28,20,10,17,27,12,6,18,47,27,30,16,9,10,27,12,15,13,11
2025-02-15,Delaware,St. John's (NY),Home,W,17,10,NA,17,5,22,50,30,33,17,7,19,29,10,7,17,36,18,28,18,9,10,29,10,8,17,13
2025-02-22,Delaware,Penn,Home,W,2,10,NA,2,1,3,29,16,28,17,7,14,15,10,5,15,35,22,17,15,8,1,15,10,12,2,14
2025-02-28,Delaware,High Point,Home,L,11,6,NA,11,3,14,36,26,28,17,10,11,20,6,4,10,32,20,36,16,10,9,20,6,14,11,15
2025-03-08,Delaware,Maryland,Away,L,3,14,NA,3,0,3,34,25,20,11,4,10,19,14,11,25,46,30,32,8,9,9,19,14,16,3,22
2025-03-15,Delaware,Towson,Away,W,18,19,1,18,15,33,46,33,43,12,6,22,39,19,9,28,51,36,32,11,7,17,39,19,17,18,15
2025-03-19,Delaware,Marist,Home,W,12,10,NA,12,7,19,52,24,35,19,10,20,25,10,4,14,33,21,21,20,8,5,25,10,11,12,12
2025-03-22,Delaware,Hampton,Home,L,18,3,NA,18,8,26,68,44,46,13,5,22,25,3,3,6,29,14,23,25,4,3,25,3,11,18,26
2025-03-29,Delaware,Hofstra,Away,W,10,17,NA,10,6,16,53,27,37,12,6,19,30,17,13,30,36,25,28,9,5,11,30,17,8,10,17
2025-04-05,Delaware,Stony Brook,Home,L,17,9,NA,17,10,27,49,34,28,10,9,13,28,9,3,12,41,24,29,18,7,15,28,9,15,17,17
2025-02-01,Denver,Johns Hopkins,Home,L,10,13,NA,10,6,16,35,22,24,13,5,11,27,13,11,24,38,24,32,15,8,16,27,13,11,10,12
2025-02-08,Denver,Air Force,Away,W,14,8,NA,14,9,23,32,22,28,24,11,14,25,8,5,13,40,21,32,21,15,11,25,8,13,14,8
2025-02-15,Denver,Utah,Home,L,10,8,NA,10,5,15,39,24,29,17,11,9,21,8,4,12,41,24,31,21,5,12,21,8,16,10,14
2025-02-22,Denver,Cornell,Away,L,5,15,NA,5,4,9,40,18,25,16,5,12,22,15,9,24,34,23,29,14,8,10,22,15,8,5,13
2025-02-28,Denver,Marist,Home,L,18,5,NA,18,13,31,38,24,31,13,4,12,27,5,4,9,37,19,23,12,6,15,27,5,14,18,6
2025-03-02,Denver,Quinnipiac,Home,L,14,7,NA,14,10,24,48,26,33,14,8,13,24,7,5,12,27,14,23,16,9,11,24,7,7,14,12
2025-03-08,Denver,Yale,Away,W,10,15,NA,10,7,17,39,21,23,17,9,5,28,15,6,21,46,32,37,19,9,23,28,15,17,10,11
