Season,Team,jersey,Full Name,Roster Name,First Name,Last Name,Year,Position,Jersey Number,Games Played,Games Started,Goals,Assists,Points,Shots,Shots on Goal,Ground Balls,Turnovers,Caused Turnovers,Faceoffs Won,Faceoffs Taken,NCAA id
2025,Bellarmine,51,Ian Kohut,Ian Kohut,Ian,Kohut,So,ATT,51,9,0,2,0,2,4,2,1,1,1,0,0,8762461
2025,Bellarmine,19,Brennan McDermott,Brennan McDermott,Brennan,McDermott,Sr,M,19,9,1,1,0,1,1,1,9,1,5,0,0,8770453
2025,Bellarmine,16,Ryan Wyrick,Ryan Wyrick,Ryan,Wyrick,So,ATT,16,9,0,0,0,0,8,4,3,1,0,0,0,8762452
2025,Bellarmine,14,Ryan Curry,Ryan Curry,Ryan,Curry,Jr,M,14,9,1,1,1,2,2,1,4,3,0,0,0,8775714
2025,Bellarmine,44,Robert Pope,Robert Pope,Robert,Pope,So,M,44,9,1,1,0,1,12,6,3,1,4,0,0,8766312
2025,Bellarmine,36,Kellen Marks,Kellen Marks,Kellen,Marks,So,M,36,9,0,0,0,0,2,1,2,3,3,0,0,8760421
2025,Bellarmine,21,Mikey Usterbowski,Mikey Usterbowski,Mikey,Usterbowski,Fr,ATT,21,8,0,2,3,5,8,3,4,3,1,0,0,9106600
2025,Bellarmine,30,Aaron Alford,Aaron Alford,Aaron,Alford,Fr,D,30,7,0,0,0,0,0,0,0,0,0,0,0,9106608
2025,Bellarmine,92,Jack Bryant,Jack Bryant,Jack,Bryant,So,GK,92,6,0,0,0,0,0,0,0,1,0,0,0,8771511
2025,Bellarmine,43,Brendan Lehrer,Brendan Lehrer,Brendan,Lehrer,Jr,M,43,5,0,0,0,0,0,0,2,0,1,0,0,8760746
2025,Bellarmine,17,Ziggy Iannessa,Ziggy Iannessa,Ziggy,Iannessa,Jr,M,17,5,0,0,0,0,0,0,0,1,0,0,1,8760258
2025,Bellarmine,18,Niko Madden,Niko Madden,Niko,Madden,So,FO,18,4,0,1,0,1,1,1,4,0,0,8,19,8763545
2025,Bellarmine,26,Grant Crossley,Grant Crossley,Grant,Crossley,Jr,GK,26,3,0,0,0,0,0,0,0,0,0,0,0,8766542
2025,Bellarmine,55,Jayden Smith,Jayden Smith,Jayden,Smith,Sr,LSM,55,3,0,0,0,0,1,1,0,1,0,0,0,8761624
2025,Bellarmine,34,Caden Pickell,Caden Pickell,Caden,Pickell,So,M,34,3,0,0,0,0,0,0,2,2,0,0,0,8761686
2025,Bellarmine,77,Zach Bailiff,Zach Bailiff,Zach,Bailiff,Fr,ATT,77,2,0,0,0,0,2,0,0,0,1,0,0,9106622
2025,Bellarmine,24,Josh Seipp,Josh Seipp,Josh,Seipp,Jr,ATT,24,1,0,0,0,0,0,0,0,0,0,0,0,8760357
2025,Bellarmine,13,Brandon Boyle,Brandon Boyle,Brandon,Boyle,Jr,ATT,13,1,0,0,2,2,0,0,0,2,0,0,0,8773982
2025,Bellarmine,91,Hudson O'Hara,Hudson O'Hara,Hudson,O'Hara,So,ATT,91,1,0,0,0,0,0,0,0,0,0,0,0,8764483
2025,Bellarmine,28,Elvis Syroka,Elvis Syroka,Elvis,Syroka,Fr,FO,28,1,0,0,0,0,0,0,0,1,0,0,0,9106606
2025,Binghamton,24,Lorenzo Ramos,Lorenzo Ramos,Lorenzo,Ramos,Sr,D,24,11,10,0,0,0,3,1,16,7,11,0,0,8763054
2025,Binghamton,13,Gavin Jacobsen,Gavin Jacobsen,Gavin,Jacobsen,Jr,M,13,10,0,5,1,6,19,10,4,7,0,0,0,8774795
2025,Binghamton,41,Flynn Wilson,Flynn Wilson,Flynn,Wilson,Fr,FO,41,10,0,0,0,0,2,1,15,1,0,63,127,9093492
2025,Binghamton,28,Riley Jenkins,Riley Jenkins,Riley,Jenkins,So,M,28,10,0,1,0,1,5,3,6,2,0,0,0,9093464
2025,Binghamton,45,Nolan Sharkey,Nolan Sharkey,Nolan,Sharkey,So,LSM,45,10,0,2,0,2,2,2,31,4,17,0,0,8773106
2025,Binghamton,32,Andrew Girolamo,Andrew Girolamo,Andrew,Girolamo,So,ATT,32,10,8,14,3,17,59,25,6,11,0,0,0,8769472
